,year,word_type,word,word_freq
24,2021,noun chunk,madrid,1
25,2021,noun chunk,the early confusion,1
26,2021,noun chunk,the pandemic,1
28,2021,noun chunk,our process,1
29,2021,noun chunk,the decisions,1
30,2021,noun chunk,advantage,1
31,2021,noun chunk,communication technologies,1
32,2021,noun chunk,covid-19,1
33,2021,noun chunk,our hearts,1
36,2021,noun chunk,the process,1
37,2021,noun chunk,the way,1
38,2021,noun chunk,the most critical issue,1
39,2021,noun chunk,this generation,1
40,2021,noun chunk,your work,1
41,2021,noun chunk,the bottom,1
42,2021,noun chunk,my heart,1
43,2021,noun chunk,’s,1
44,2021,noun chunk,work,1
45,2021,noun chunk,scottish poet robert burns,1
46,2021,noun chunk,the day,1
47,2021,noun chunk,the hour,1
48,2021,noun chunk,a pivotal point,1
51,2021,noun chunk,several stark but clear choices,1
52,2021,noun chunk,rapid and large-scale reductions,1
54,2021,noun chunk,the goal,1
55,2021,noun chunk,global warming,1
57,2021,noun chunk,this planet,1
58,2021,noun chunk,adaptation efforts,1
59,2021,noun chunk,current extreme weather disasters,1
61,2021,noun chunk,future impacts,1
62,2021,noun chunk,more people,1
63,2021,noun chunk,more families,1
64,2021,noun chunk,more economic harm,1
65,2021,noun chunk,that business,1
66,2021,noun chunk,the devastating price,1
67,2021,noun chunk,the necessary transition,1
68,2021,noun chunk,a more sustainable future,1
69,2021,noun chunk,our own extinction,1
70,2021,noun chunk,environment,1
71,2021,noun chunk,peace,1
72,2021,noun chunk,stability,1
73,2021,noun chunk,the institutions,1
74,2021,noun chunk,the wellbeing,1
75,2021,noun chunk,these reasons,1
76,2021,noun chunk,progress,1
79,2021,noun chunk,the platform,1
80,2021,noun chunk,action,1
82,2021,noun chunk,a covenant,1
83,2021,noun chunk,hope,1
84,2021,noun chunk,everything,1
85,2021,noun chunk,our climate goals,1
86,2021,noun chunk,its potential,1
89,2021,noun chunk,outstanding work,1
90,2021,noun chunk,the agreement,1
91,2021,noun chunk,every day,1
92,2021,noun chunk,a wasted day,1
93,2021,noun chunk,the accumulation,1
94,2021,noun chunk,real-world repercussions,1
95,2021,noun chunk,people,1
97,2021,noun chunk,the necessary work,1
98,2021,noun chunk,the pathway,1
100,2021,noun chunk,the recently-updated un climate change ndc synthesis report,1
101,2021,noun chunk,that’s the bad news,1
102,2021,noun chunk,the good news,1
103,2021,noun chunk,those nations,1
104,2021,noun chunk,a new and updated ndcs,1
105,2021,noun chunk,even more ambition,1
106,2021,noun chunk,all nations,1
107,2021,noun chunk,board,1
108,2021,noun chunk,especially the highest emitters,1
109,2021,noun chunk,the g20,1
110,2021,noun chunk,cent,1
111,2021,noun chunk,global emissions,1
112,2021,noun chunk,provision,1
113,2021,noun chunk,support,1
114,2021,noun chunk,developing nations,1
115,2021,noun chunk,another cornerstone,1
116,2021,noun chunk,adequate support,1
117,2021,noun chunk,emissions reductions,1
118,2021,noun chunk,the commitment,1
119,2021,noun chunk,developed nations,1
120,2021,noun chunk,the delivery plan,1
121,2021,noun chunk,a start,1
123,2021,noun chunk,more detail and concrete actions,1
124,2021,noun chunk,the necessary support,1
125,2021,noun chunk,the transformations,1
126,2021,noun chunk,the 1.5-degree goal,1
127,2021,noun chunk,the trillions,1
128,2021,noun chunk,respect,1
129,2021,noun chunk,financial support,1
130,2021,noun chunk,the most vulnerable countries,1
